DayNum,NumOT,Totgamepts,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,win/loss
134,1,176,32,69,11,29,17,26,14,30,17,12,5,3,22,1
136,0,131,31,66,7,23,11,14,11,36,22,16,10,7,8,1
136,0,155,31,59,6,14,16,22,10,27,18,9,7,4,19,1
136,0,152,29,53,3,7,18,25,11,20,15,18,13,1,19,1
136,1,150,27,64,7,20,15,23,18,20,17,13,8,2,14,1
136,0,111,17,52,4,14,20,27,12,29,8,14,3,8,16,1
136,0,124,19,54,4,13,25,31,13,27,4,16,10,8,23,1
136,0,143,20,47,6,14,28,37,8,28,12,12,2,2,15,1
136,0,125,24,56,5,14,12,14,15,23,15,14,11,4,14,1
136,0,125,28,51,2,6,6,11,7,20,13,11,8,4,17,1
136,0,140,22,51,9,16,19,23,11,20,14,10,4,3,23,1
136,0,143,28,52,5,13,11,18,9,32,7,23,4,6,19,1
136,0,139,23,54,3,13,21,25,11,33,7,20,6,6,19,1
136,0,125,24,52,10,18,13,24,11,24,16,14,8,3,12,1
136,0,146,29,64,8,24,11,15,12,29,16,14,4,8,24,1
136,0,155,33,57,8,12,10,13,8,26,18,12,6,1,11,1
136,0,155,31,58,6,16,13,22,10,24,16,9,7,2,16,1
137,1,128,25,57,7,18,8,13,14,24,11,15,4,5,16,1
137,0,93,18,47,5,18,6,8,7,19,5,8,3,0,15,1
137,0,140,32,61,13,28,8,14,9,31,24,10,6,3,15,1
137,0,129,19,49,7,18,22,26,13,22,15,8,1,2,17,1
137,0,159,40,65,10,20,5,11,10,25,22,13,7,4,17,1
137,0,150,35,70,8,24,8,13,15,29,18,12,12,4,22,1
137,0,148,27,54,10,19,11,15,8,27,17,13,3,3,20,1
137,0,143,26,56,7,13,20,25,10,28,16,11,5,1,18,1
137,0,140,27,50,7,20,16,28,10,15,15,11,12,0,17,1
137,0,148,33,59,9,16,12,21,10,23,22,9,14,6,19,1
137,0,136,27,52,9,16,17,19,8,25,7,19,9,1,18,1
137,0,141,30,52,4,11,12,15,11,28,16,18,5,9,17,1
137,0,143,31,62,6,16,14,20,19,28,15,14,6,2,16,1
137,0,118,18,61,9,23,15,18,13,23,8,15,7,4,22,1
137,0,149,29,69,6,23,12,20,19,29,13,19,8,9,19,1
137,0,130,26,64,6,20,13,18,17,30,19,10,5,4,11,1
138,2,191,34,74,7,24,21,29,18,29,18,9,7,4,20,1
138,0,159,31,68,6,10,17,21,17,26,12,9,4,1,13,1
138,0,146,32,52,10,15,12,16,4,23,14,11,15,9,18,1
138,0,184,40,59,5,9,23,34,12,28,21,13,6,6,20,1
138,1,193,35,62,12,18,19,20,8,25,18,12,6,0,20,1
138,0,128,25,61,13,24,5,5,5,32,12,11,5,4,13,1
138,0,139,26,51,7,13,15,24,13,23,16,12,2,2,15,1
138,0,121,22,57,6,22,11,17,10,22,12,5,5,3,11,1
139,0,130,24,56,4,19,16,20,12,21,11,14,9,6,18,1
139,0,150,27,52,14,22,11,19,10,18,21,12,6,2,11,1
139,0,128,26,55,4,13,18,18,13,22,11,13,4,3,16,1
139,0,141,30,58,3,13,14,17,7,32,19,8,2,6,21,1
139,0,114,25,45,6,16,12,18,9,21,15,10,5,0,18,1
139,0,126,25,47,4,9,20,28,10,21,15,11,9,1,14,1
139,0,124,26,57,5,12,11,18,5,33,16,17,11,9,19,1
139,0,144,25,62,5,11,22,26,13,27,8,13,4,0,21,1
143,0,159,36,76,7,14,9,11,14,30,19,10,12,5,17,1
143,0,134,29,67,1,12,10,17,18,29,14,17,4,5,16,1
143,0,120,24,49,1,5,14,24,12,21,9,14,10,4,17,1
143,0,151,28,54,6,12,15,22,10,18,16,10,7,3,18,1
144,0,118,22,56,6,17,10,12,11,26,10,18,8,3,20,1
144,0,119,27,55,4,10,7,12,19,20,15,13,6,1,18,1
144,0,157,29,66,5,14,16,21,15,21,14,10,9,7,17,1
144,0,160,24,69,5,18,29,36,21,31,13,10,5,5,21,1
145,0,153,29,67,8,26,12,18,15,22,16,15,13,5,20,1
145,0,152,31,55,10,19,11,15,10,26,21,15,6,6,22,1
146,0,110,25,48,2,12,11,19,12,28,16,24,13,2,13,1
146,0,161,25,51,6,14,29,38,8,20,16,4,6,4,22,1
152,0,155,38,71,8,19,10,17,19,33,22,12,8,5,15,1
152,0,179,32,56,7,13,24,31,9,28,14,13,9,2,21,1
154,0,159,30,63,11,18,10,17,11,25,13,17,10,7,22,1
134,0,129,25,63,6,20,16,23,19,25,11,12,8,2,15,1
136,0,129,24,53,7,16,10,16,11,24,7,12,7,2,7,1
136,0,123,26,52,6,14,12,23,11,31,14,13,6,3,8,1
136,2,145,24,59,5,13,23,40,11,38,13,11,4,3,19,1
136,0,157,32,66,9,26,23,31,17,29,19,14,14,4,19,1
136,0,125,29,54,3,13,15,25,10,36,19,15,6,5,14,1
136,0,135,26,60,6,15,17,21,13,23,10,10,8,4,21,1
136,0,169,29,59,8,18,20,31,16,21,17,14,7,6,20,1
136,0,138,20,46,7,22,25,29,5,23,10,17,6,2,16,1
136,0,115,22,53,4,13,15,18,14,21,12,13,10,1,15,1
136,0,156,27,58,8,22,18,24,12,21,12,10,6,0,19,1
136,0,145,27,60,8,23,20,28,10,26,16,14,15,3,17,1
136,0,116,27,54,6,14,11,15,11,29,11,20,11,9,20,1
136,0,155,24,46,11,16,21,28,5,18,12,7,2,4,15,1
136,0,115,23,50,11,15,9,14,17,26,10,13,3,1,16,1
136,0,149,29,59,4,11,14,18,14,22,17,16,7,2,16,1
136,0,157,28,54,6,16,17,27,9,23,16,11,7,2,16,1
137,0,109,23,44,3,4,9,11,4,21,20,8,4,3,13,1
137,0,157,29,62,13,32,9,11,12,33,22,17,3,11,19,1
137,0,125,25,55,6,18,9,12,8,29,10,12,4,3,14,1
137,0,125,27,60,9,24,9,13,16,28,19,8,5,5,17,1
137,0,131,24,39,5,12,25,40,6,35,18,25,6,8,19,1
137,0,172,35,62,11,28,15,23,13,29,23,17,8,5,15,1
137,0,102,23,59,9,27,4,7,14,22,16,9,3,4,15,1
137,0,137,30,56,8,22,17,23,13,34,19,17,12,3,13,1
137,0,113,18,49,5,17,20,24,13,24,10,15,5,0,20,1
